stateabb,year,Population,Military_size
AFG,1931,2391000,60000
ALB,1931,315333.3333,11000
ARG,1931,4096666.667,42000
AUL,1931,2175333.333,6000
AUS,1931,2235000,21000
BEL,1931,2719666.667,66000
BOL,1931,810000,7000
BRA,1931,11418666.67,57000
BUL,1931,1936666.667,20000
CAN,1931,3459000,6000
CHL,1931,1476666.667,21000
CHN,1931,162346333.3,1700000
COL,1931,2523333.333,8000
CUB,1931,1320000,13000
CZE,1931,4928666.667,129000
DEN,1931,1190000,11000
DOM,1931,433333.3333,2000
ECU,1931,666666.6667,6000
EST,1931,372333.3333,14000
ETH,1931,3994000,100000
FIN,1931,1166666.667,31000
FRN,1931,13953333.33,441000
GMY,1931,21543666.67,114000
GRC,1931,2154000,62000
GUA,1931,603333.3333,7000
HON,1931,323333.3333,2000
HUN,1931,2907666.667,35000
IRE,1931,977666.6667,6000
IRN,1931,4250000,40000
ITA,1931,13750000,314000
JPN,1931,21819000,292000
LAT,1931,636666.6667,24000
LBR,1931,109666.6667,6000
LIT,1931,789000,18000
MEX,1931,5623333.333,61000
MON,1931,246000,2000
NEP,1931,1865666.667,20000
NEW,1931,507666.6667,1000
NIC,1931,230000,3000
NOR,1931,938333.3333,5000
NTH,1931,2666666.667,16000
PAR,1931,300000,3000
PER,1931,1913333.333,11000
POL,1931,10643333.33,269000
POR,1931,2293333.333,40000
ROM,1931,6055333.333,180000
RUS,1931,52233666.67,562000
SAF,1931,2906000,2000
SAL,1931,486666.6667,3000
SAU,1931,700666.6667,4000
SPN,1931,7856666.667,134000
SWD,1931,2050666.667,32000
THI,1931,4245000,30000
TUR,1931,4916000,145000
UKG,1931,15358000,319000
URU,1931,586666.6667,9000
USA,1931,41383000,253000
VEN,1931,1050000,6000
YAR,1931,846000,18000
YUG,1931,4660666.667,114000
AFG,1932,2419000,60000
ALB,1932,320333.3333,13000
ARG,1932,4173333.333,43000
AUL,1932,2192333.333,6000
AUS,1932,2241666.667,21000
BEL,1932,2737666.667,67000
BOL,1932,816666.6667,7000
BRA,1932,11652333.33,71000
BUL,1932,1960000,20000
CAN,1932,3503333.333,5000
CHL,1932,1500000,20000
CHN,1932,163732333.3,1700000
COL,1932,2576666.667,8000
CUB,1932,1320000,13000
CZE,1932,4962000,118000
DEN,1932,1200000,11000
DOM,1932,450000,2000
ECU,1932,683333.3333,5000
EST,1932,373333.3333,12000
ETH,1932,4098333.333,100000
FIN,1932,1176666.667,29000
FRN,1932,13953333.33,422000
GMY,1932,21637000,114000
GRC,1932,2181000,62000
GUA,1932,620000,7000
HON,1932,330000,2000
HUN,1932,2928333.333,35000
IRE,1932,983000,6000
IRN,1932,4304000,40000
IRQ,1932,1169333.333,12000
ITA,1932,13860000,354000
JPN,1932,22144666.67,370000
LAT,1932,640000,24000
LBR,1932,113666.6667,5000
LIT,1932,798333.3333,20000
MEX,1932,5723333.333,54000
MON,1932,246333.3333,2000
NEP,1932,1887666.667,20000
NEW,1932,511666.6667,1000
NIC,1932,231000,2000
NOR,1932,944000,5000
NTH,1932,2706666.667,16000
PAR,1932,306666.6667,3000
PER,1932,1946666.667,11000
POL,1932,10802000,269000
POR,1932,2323333.333,41000
ROM,1932,6142000,142000
RUS,1932,52698000,562000
SAF,1932,2966000,2000
SAL,1932,490000,3000
SAU,1932,716333.3333,4000
SPN,1932,7926666.667,138000
SWD,1932,2058666.667,32000
THI,1932,4362333.333,30000
TUR,1932,5020666.667,149000
UKG,1932,15445000,317000
URU,1932,596666.6667,8000
USA,1932,41649666.67,245000
VEN,1932,1063333.333,6000
YAR,1932,858000,18000
YUG,1932,4724666.667,104000
AFG,1933,2447666.667,72000
ALB,1933,325333.3333,13000
ARG,1933,4243333.333,43000
AUL,1933,2210000,6000
AUS,1933,2248666.667,21000
BEL,1933,2749333.333,66000
BOL,1933,826666.6667,20000
BRA,1933,11891000,64000
BUL,1933,1986666.667,20000
CAN,1933,3544333.333,5000
CHL,1933,1520000,22000
CHN,1933,165130000,1700000
COL,1933,2626666.667,8000
CUB,1933,1320000,13000
CZE,1933,4992333.333,122000
DEN,1933,1210000,11000
DOM,1933,463333.3333,2000
ECU,1933,700000,5000
EST,1933,374333.3333,12000
ETH,1933,4205666.667,100000
FIN,1933,1183333.333,32000
FRN,1933,13963333.33,449000
GMY,1933,21739333.33,118000
GRC,1933,2208000,62000
GUA,1933,636666.6667,6000
HON,1933,336666.6667,1000
HUN,1933,2949333.333,35000
IRE,1933,987333.3333,6000
IRN,1933,4358666.667,97000
IRQ,1933,1178000,10000
ITA,1933,13976666.67,363000
JPN,1933,22477333.33,371000
LAT,1933,643333.3333,25000
LBR,1933,117666.6667,1000
LIT,1933,807666.6667,20000
MEX,1933,5823333.333,54000
MON,1933,246333.3333,2000
NEP,1933,1909333.333,20000
NEW,1933,515666.6667,1000
NIC,1933,232333.3333,3000
NOR,1933,950000,5000
NTH,1933,2746666.667,16000
PAR,1933,313333.3333,20000
PER,1933,1980000,10000
POL,1933,10943333.33,269000
POR,1933,2353333.333,41000
ROM,1933,6217333.333,147000
RUS,1933,52722666.67,885000
SAF,1933,3024666.667,2000
SAL,1933,496666.6667,3000
SAU,1933,732333.3333,4000
SPN,1933,8040000,146000
SWD,1933,2067000,34000
THI,1933,4466333.333,27000
TUR,1933,5127666.667,149000
UKG,1933,15506666.67,316000
URU,1933,606666.6667,8000
USA,1933,41896666.67,244000
VEN,1933,1076666.667,7000
YAR,1933,870333.3333,18000
YUG,1933,4789666.667,114000
AFG,1934,2476333.333,45000
ALB,1934,330333.3333,13000
ARG,1934,4313333.333,44000
AUL,1934,2225666.667,8000
AUS,1934,2253333.333,21000
BEL,1934,2758666.667,68000
BOL,1934,836666.6667,23000
BRA,1934,12134666.67,97000
BUL,1934,2013333.333,20000
CAN,1934,3580333.333,5000
CHL,1934,1543333.333,20000
CHN,1934,166539333.3,1700000
COL,1934,2676666.667,13000
CUB,1934,1346666.667,13000
CZE,1934,5019000,118000
DEN,1934,1223333.333,10000
DOM,1934,480000,3000
ECU,1934,713333.3333,5000
EST,1934,375333.3333,12000
ETH,1934,4315666.667,100000
FIN,1934,1193333.333,31000
FRN,1934,13983333.33,458000
GMY,1934,21865000,315000
GRC,1934,2242000,63000
GUA,1934,646666.6667,7000
HAI,1934,663333.3333,3000
HON,1934,340000,2000
HUN,1934,2973000,35000
IRE,1934,990333.3333,6000
IRN,1934,4414000,97000
IRQ,1934,1186666.667,10000
ITA,1934,14093333.33,362000
JPN,1934,22769666.67,399000
LAT,1934,646666.6667,26000
LBR,1934,122000,4000
LIT,1934,817000,19000
MEX,1934,5925333.333,59000
MON,1934,246666.6667,2000
NEP,1934,1931666.667,20000
NEW,1934,519333.3333,1000
NIC,1934,237000,2000
NOR,1934,955333.3333,4000
NTH,1934,2780000,16000
PAR,1934,323333.3333,22000
PER,1934,2013333.333,10000
POL,1934,11073333.33,272000
POR,1934,2383333.333,37000
ROM,1934,6304666.667,147000
RUS,1934,53052000,940000
SAF,1934,3084666.667,3000
SAL,1934,503333.3333,3000
SAU,1934,748666.6667,4000
SPN,1934,8116666.667,138000
THI,1934,4572666.667,27000
TUR,1934,5237000,203000
UKG,1934,15555333.33,318000
URU,1934,613333.3333,8000
USA,1934,42161666.67,247000
VEN,1934,1086666.667,7000
YAR,1934,882666.6667,18000
YUG,1934,4855333.333,115000
AFG,1935,2505333.333,72000
ALB,1935,335000,9000
ARG,1935,4383333.333,44000
AUL,1935,2242000,8000
AUS,1935,2253666.667,25000
BEL,1935,2766666.667,68000
BOL,1935,846666.6667,42000
BRA,1935,12383333.33,97000
BUL,1935,2033333.333,20000
CAN,1935,3615000,4000
CHL,1935,1566666.667,24000
CHN,1935,167961000,1700000
COL,1935,2733333.333,13000
CUB,1935,1356666.667,16000
CZE,1935,5042333.333,117000
DEN,1935,1230000,10000
DOM,1935,493333.3333,3000
ECU,1935,733333.3333,8000
EST,1935,376333.3333,12000
ETH,1935,4428666.667,100000
FIN,1935,1196666.667,31000
FRN,1935,13980000,548000
GMY,1935,22290333.33,461000
GRC,1935,2278666.667,63000
GUA,1935,660000,6000
HAI,1935,680000,3000
HON,1935,346666.6667,2000
HUN,1935,2995000,35000
IRE,1935,990333.3333,6000
IRN,1935,4470000,95000
IRQ,1935,1195333.333,14000
ITA,1935,14210000,1380000
JPN,1935,23084666.67,410000
LAT,1935,650000,26000
LBR,1935,126333.3333,4000
LIT,1935,825000,23000
MEX,1935,6029666.667,54000
MON,1935,246666.6667,2000
NEP,1935,1954333.333,20000
NEW,1935,523333.3333,1000
NIC,1935,242666.6667,2000
NOR,1935,960666.6667,4000
NTH,1935,2810000,16000
PAR,1935,330000,18000
PER,1935,2043333.333,17000
POL,1935,11206666.67,271000
POR,1935,2413333.333,37000
ROM,1935,6362666.667,142000
RUS,1935,53349666.67,1300000
SAF,1935,3145000,4000
SAL,1935,510000,3000
SAU,1935,765333.3333,4000
SPN,1935,8190000,141000
SWD,1935,2080666.667,39000
THI,1935,4681666.667,27000
TUR,1935,5348666.667,211000
UKG,1935,15623000,321000
URU,1935,623333.3333,8000
USA,1935,42454000,252000
VEN,1935,1100000,6000
YAR,1935,895333.3333,18000
YUG,1935,4922333.333,123000
AFG,1936,2535000,103000
ALB,1936,338000,9000
ARG,1936,4456666.667,44000
AUL,1936,2259333.333,8000
AUS,1936,2252666.667,26000
BEL,1936,2777000,67000
BOL,1936,856666.6667,10000
BRA,1936,12637000,96000
BUL,1936,2050000,20000
CAN,1936,3650000,6000
CHL,1936,1590000,24000
CHN,1936,169395000,1700000
COL,1936,2786666.667,12000
CUB,1936,1370000,16000
CZE,1936,5062333.333,163000
DEN,1936,1240000,12000
DOM,1936,506666.6667,3000
ECU,1936,750000,8000
EST,1936,377333.3333,12000
ETH,1936,4544666.667,500000
FIN,1936,1210000,31000
FRN,1936,13970000,588000
GMY,1936,22449666.67,596000
GRC,1936,2312000,68000
GUA,1936,673333.3333,6000
HAI,1936,693333.3333,3000
HON,1936,353333.3333,2000
HUN,1936,3015333.333,35000
IRE,1936,987666.6667,6000
IRN,1936,4527000,94000
IRQ,1936,1204000,19000
ITA,1936,14320000,343000
JPN,1936,23371333.33,416000
LAT,1936,653333.3333,26000
LBR,1936,130666.6667,4000
LIT,1936,833333.3333,21000
MEX,1936,6136666.667,48000
MON,1936,247000,2000
NEP,1936,1977000,20000
NEW,1936,528333.3333,1000
NIC,1936,248666.6667,2000
NOR,1936,965333.3333,4000
NTH,1936,2840000,15000
PAR,1936,336666.6667,3000
PER,1936,2080000,17000
POL,1936,11334000,272000
POR,1936,2443333.333,36000
ROM,1936,6439333.333,137000
RUS,1936,53757333.33,1300000
SAF,1936,3206000,4000
SAL,1936,516666.6667,2000
SAU,1936,782666.6667,4000
SPN,1936,8270000,475000
SWD,1936,2086333.333,30000
THI,1936,4793000,32000
TUR,1936,5450666.667,211000
UKG,1936,15693666.67,336000
URU,1936,630000,9000
USA,1936,42727000,291000
VEN,1936,1126666.667,6000
YAR,1936,908333.3333,18000
YUG,1936,4990000,124000
AFG,1937,2564666.667,103000
ALB,1937,343333.3333,9000
ARG,1937,4536666.667,57000
AUL,1937,2278666.667,8000
AUS,1937,2251666.667,42000
BEL,1937,2787000,72000
BOL,1937,866666.6667,10000
BRA,1937,12895666.67,98000
BUL,1937,2066666.667,20000
CAN,1937,3681666.667,6000
CHL,1937,1613333.333,26000
CHN,1937,170841000,2000000
COL,1937,2843333.333,15000
CUB,1937,1390000,19000
CZE,1937,5083333.333,163000
DEN,1937,1250000,12000
DOM,1937,520000,3000
ECU,1937,766666.6667,8000
EGY,1937,5336000,22000
EST,1937,378333.3333,12000
FIN,1937,1220000,31000
FRN,1937,13976666.67,613000
GMY,1937,22610333.33,603000
GRC,1937,2342666.667,90000
GUA,1937,690000,6000
HAI,1937,706666.6667,3000
HON,1937,360000,2000
HUN,1937,3035666.667,35000
IRE,1937,983333.3333,6000
IRN,1937,4584333.333,92000
IRQ,1937,1212666.667,23000
ITA,1937,14423333.33,466000
JPN,1937,23543333.33,393000
LAT,1937,656666.6667,26000
LBR,1937,135333.3333,4000
LIT,1937,841666.6667,23000
MEX,1937,6245333.333,54000
MON,1937,247000,2000
NEP,1937,2000000,20000
NEW,1937,534000,1000
NIC,1937,255000,3000
NOR,1937,970000,4000
NTH,1937,2866666.667,16000
PAR,1937,346666.6667,3000
PER,1937,2116666.667,14000
POL,1937,11470000,281000
POR,1937,2470000,33000
ROM,1937,6510000,177000
RUS,1937,54462666.67,1433000
SAF,1937,3267333.333,4000
SAL,1937,523333.3333,2000
SAU,1937,800000,4000
SPN,1937,8350000,500000
SWD,1937,2093333.333,27000
THI,1937,4907000,35000
TUR,1937,5545666.667,211000
UKG,1937,15763000,350000
URU,1937,636666.6667,9000
USA,1937,42987000,312000
VEN,1937,1153333.333,2000
YAR,1937,921333.3333,18000
YUG,1937,5057333.333,142000
AFG,1938,2595000,103000
ALB,1938,346666.6667,9000
ARG,1938,4613333.333,59000
AUL,1938,2299666.667,8000
AUS,1938,2251000,58000
BEL,1938,2795666.667,90000
BOL,1938,876666.6667,10000
BRA,1938,13160000,97000
BUL,1938,2083333.333,20000
CAN,1938,3717333.333,6000
CHL,1938,1636666.667,23000
CHN,1938,172299333.3,900000
COL,1938,2900000,18000
CUB,1938,1410000,19000
CZE,1938,4866666.667,163000
DEN,1938,1260000,11000
DOM,1938,533333.3333,3000
ECU,1938,786666.6667,8000
EGY,1938,5431666.667,24000
EST,1938,379333.3333,12000
FIN,1938,1230000,36000
FRN,1938,13986666.67,581000
GMY,1938,22808000,782000
GRC,1938,2374000,95000
