stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version,Expenditure,Population,Military_size,WG,Beta,Beta Corr
AFG,700,1920,0,-9,55,0,6306,0,0.0019737,4,-9000,2102000,55000,2.62%,0.857272065,0.817272065
AFG,700,1921,0,-9,55,0,6381,0,0.001971,4,-9000,2127000,55000,2.59%,0.856576417,0.816576417
AFG,700,1922,0,-9,55,0,6456,0,0.0021718,4,-9000,2152000,55000,2.56%,0.855890006,0.815890006
AFG,700,1923,0,-9,65,0,6532,0,0.0026945,4,-9000,2177333.333,65000,2.99%,0.8666507,0.8266507
AFG,700,1924,0,-9,65,0,6609,0,0.0031195,4,-9000,2203000,65000,2.95%,0.865955308,0.825955308
AFG,700,1925,0,-9,76,0,6687,0,0.0035203,4,-9000,2229000,76000,3.41%,0.875956347,0.835956347
AFG,700,1926,0,-9,76,0,6765,0,0.0035234,4,-9000,2255000,76000,3.37%,0.87526193,0.83526193
AFG,700,1927,0,-9,76,0,6845,0,0.0035637,4,-9000,2281666.667,76000,3.33%,0.874559098,0.834559098
AFG,700,1928,0,-9,60,0,6925,0,0.0030185,4,-9000,2308333.333,60000,2.60%,0.857732031,0.817732031
AFG,700,1929,0,-9,60,0,7007,0,0.0030385,4,-9000,2335666.667,60000,2.57%,0.857043473,0.817043473
AFG,700,1930,0,-9,60,0,7089,0,0.0030359,4,-9000,2363000,60000,2.54%,0.856364012,0.816364012
AFG,700,1931,0,4536,60,0,7173,0,0.0026446,4,4536000,2391000,60000,2.51%,0.855677177,0.815677177
AFG,700,1932,0,3731,60,0,7257,0,0.0026374,4,3731000,2419000,60000,2.48%,0.85499942,0.81499942
AFG,700,1933,0,-9,72,0,7343,0,0.0032468,4,-9000,2447666.667,72000,2.94%,0.866708549,0.826708549
AFG,700,1934,0,-9,45,0,7429,0,0.0023447,4,-9000,2476333.333,45000,1.82%,0.834098444,0.794098444
AFG,700,1935,0,7172,72,0,7516,0,0.0023612,4,7172000,2505333.333,72000,2.87%,0.865338738,0.825338738
AFG,700,1936,0,7363,103,0,7605,0,0.0029874,4,7363000,2535000,103000,4.06%,0.888930438,0.848930438
AFG,700,1937,0,-9,103,0,7694,105,0.0034712,4,-9000,2564666.667,103000,4.02%,0.888229594,0.848229594
AFG,700,1938,0,6783,103,0,7785,117,0.0031082,4,6783000,2595000,103000,3.97%,0.887522455,0.847522455
AFG,700,1939,0,-9,103,0,7876,130,0.0029508,4,-9000,2625333.333,103000,3.92%,0.88682464,0.84682464
AFG,700,1940,0,-9,60,0,7969,143,0.001713,4,-9000,2656333.333,60000,2.26%,0.849589803,0.809589803
AFG,700,1941,0,-9,90,0,8063,156,0.0019521,4,-9000,2687666.667,90000,3.35%,0.876305375,0.836305375
AFG,700,1942,0,-9,90,0,8158,170,0.0018166,4,-9000,2719333.333,90000,3.31%,0.875612574,0.835612574
AFG,700,1943,0,-9,90,0,8254,183,0.0017597,4,-9000,2751333.333,90000,3.27%,0.87492172,0.83492172
AFG,700,1944,0,-9,90,0,8351,197,0.0016625,4,-9000,2783666.667,90000,3.23%,0.874232871,0.834232871
AFG,700,1945,0,-9,90,0,8449,211,0.0015724,4,-9000,2816333.333,90000,3.20%,0.87354608,0.83354608
AFG,700,1946,0,-9,90,0,8549,225,0.0025014,4,-9000,2849666.667,90000,3.16%,0.872854528,0.832854528
AFG,700,1947,0,-9,100,0,8649,240,0.002474,4,-9000,2883000,100000,3.47%,0.879255466,0.839255466
AFG,700,1948,0,-9,90,0,8751,254,0.0023342,4,-9000,2917000,90000,3.09%,0.87148517,0.83148517
AFG,700,1949,0,-9,75,5,8854,269,0.0019794,4,-9000,2951333.333,75000,2.54%,0.858562488,0.818562488
AFG,700,1950,0,4654,75,8,8958,284,0.0016056,4,4654000,2986000,75000,2.51%,0.857890029,0.817890029
AFG,700,1951,0,5657,60,10,9093,299,0.0014054,4,5657000,3031000,60000,1.98%,0.842078624,0.802078624
AFG,700,1952,0,6730,60,12,9238,314,0.0013305,4,6730000,3079333.333,60000,1.95%,0.841186928,0.801186928
AFG,700,1953,0,9596,41,14,9393,330,0.0011815,4,9596000,3131000,41000,1.31%,0.814793073,0.774793073
AFG,700,1954,0,5012,41,16,9558,345,0.0011561,4,5012000,3186000,41000,1.29%,0.813845541,0.773845541
AFG,700,1955,0,6504,43,23,9734,361,0.0011547,4,6504000,3244666.667,43000,1.33%,0.81603185,0.77603185
AFG,700,1956,0,4814,43,23,9921,377,0.0011591,4,4814000,3307000,43000,1.30%,0.814997439,0.774997439
AFG,700,1957,0,7227,43,29,10119,393,0.001169,4,7227000,3373000,43000,1.27%,0.813925991,0.773925991
AFG,700,1958,0,6252,43,34,10327,409,0.0011763,4,6252000,3442333.333,43000,1.25%,0.812825718,0.772825718
AFG,700,1959,0,11073,50,41,10546,426,0.0012464,4,11073000,3515333.333,50000,1.42%,0.821700464,0.781700464
AFG,700,1960,0,14240,60,48,10775,444,0.0013066,4,14240000,3591666.667,60000,1.67%,0.832609991,0.792609991
AFG,700,1961,0,14184,110,66,11014,462,0.0017574,4,14184000,3671333.333,110000,3.00%,0.871500372,0.831500372
AFG,700,1962,0,13125,104,112,11262,481,0.0016605,4,13125000,3754000,104000,2.77%,0.86651335,0.82651335
AFG,700,1963,0,14795,110,99,11521,500,0.0016639,4,14795000,3840333.333,110000,2.86%,0.868913402,0.828913402
AFG,700,1964,0,14544,112,113,11791,478,0.001644,4,14544000,3930333.333,112000,2.85%,0.868774446,0.828774446
AFG,700,1965,0,13865,97,144,12071,456,0.0015451,4,13865000,4023666.667,97000,2.41%,0.857978769,0.817978769
AFG,700,1966,0,16819,97,162,12358,434,0.0014699,4,16819000,4119333.333,97000,2.35%,0.856655133,0.816655133
AFG,700,1967,0,17932,95,331,12652,412,0.0014258,4,17932000,4217333.333,95000,2.25%,0.853969046,0.813969046
AFG,700,1968,0,20067,89,366,12957,448,0.0013733,4,20067000,4319000,89000,2.06%,0.848367539,0.808367539
AFG,700,1969,0,20915,89,137,13280,483,0.0013624,4,20915000,4426666.667,89000,2.01%,0.847002506,0.807002506
AFG,700,1970,0,19469,91,1761.406,13623,517,0.0014041,4,19469000,4541000,91000,2.00%,0.847043229,0.807043229
AFG,700,1971,0,29844,91,1930.78,13984,554,0.001435,4,29844000,4661333.333,91000,1.95%,0.845600437,0.805600437
AFG,700,1972,0,32289,91,1863.967,14356,820,0.0014712,4,32289000,4785333.333,91000,1.90%,0.84415707,0.80415707
AFG,700,1973,0,32400,91,1869.442,14724,889,0.0014746,4,32400000,4908000,91000,1.85%,0.84277022,0.80277022
AFG,700,1974,0,34733,80,2068.249,15070,958,0.0013901,4,34733000,5023333.333,80000,1.59%,0.833151823,0.793151823
AFG,700,1975,0,40555,130,2275.031,15378,1030,0.0017197,4,40555000,5126000,130000,2.54%,0.86348558,0.82348558
AFG,700,1976,0,42422,142,2167.041,15653,1104,0.0018084,4,42422000,5217666.667,142000,2.72%,0.868204333,0.828204333
AFG,700,1977,0,52289,143,2426.174,15892,1179,0.0018377,4,52289000,5297333.333,143000,2.70%,0.867807856,0.827807856
AFG,700,1978,0,59400,110,2288.738,16064,1256,0.0016085,4,59400000,5354666.667,110000,2.05%,0.85027105,0.81027105
AFG,700,1979,0,58000,89,2272.433,16128,1335,0.0014663,4,58000000,5376000,89000,1.66%,0.836383299,0.796383299
AFG,700,1980,0,238087,43,2182.202,16063,1413,0.0012174,4,238087000,5354333.333,43000,0.80%,0.789649992,0.749649992
AFG,700,1981,0,326007,45,2246.286,15862,1493,0.0012289,4,326007000,5287333.333,45000,0.85%,0.793228987,0.753228987
AFG,700,1982,0,326872,55,2275.31,15549,1591,0.0012712,4,326872000,5183000,55000,1.06%,0.807230747,0.767230747
AFG,700,1983,0,296987,46,2410.396,15177,1655,0.0011872,4,296987000,5059000,46000,0.91%,0.796921241,0.756921241
AFG,700,1984,0,210032,46,2615.317,14814,1738,0.0011346,4,210032000,4938000,46000,0.93%,0.798172969,0.758172969
AFG,700,1985,0,286560,47,2804.972,14519,1823,0.0011465,4,286560000,4839666.667,47000,0.97%,0.800613212,0.760613212
