Year,Belgium,Canada,Denmark,France,Italy,Luxembourg,Netherlands,Portugal,United_Kingdom,United_States,Russia_USSR,China,India,Pakistan,South_Korea,North_Korea,Israel,Egypt,Iran,Iraq
1949,0.822609095,0.767509376,0.756472088,0.873256549,0.828758405,0.799251382,0.900065859,0.827741372,0.879162903,0.863546121,0.90294343,0.822528591,0.728580728,0.78844511,0.771462529,0.804656467,0.99009935,0.77302886,0.818979255,0.795613294
1950,0.826462243,0.763365746,0.764911683,0.873547617,0.806370086,0.798705566,0.896816189,0.82818922,0.871670171,0.856585706,0.911912155,0.846786503,0.729732665,0.78485483,0.802284185,0.855476709,0.97150601,0.775532091,0.818446926,0.803132287
1951,0.829063733,0.784571639,0.789543855,0.875774241,0.825956403,0.798434304,0.893245238,0.82778584,0.88340165,0.9036853,0.91990617,0.83032069,0.730757802,0.781270431,0.842772278,0.84508715,0.952596417,0.776950627,0.822303173,0.80763691
1952,0.832361729,0.817605812,0.789075333,0.878920041,0.826665504,0.797895032,0.890144368,0.82751115,0.88669957,0.909465929,0.927735697,0.830390056,0.731624058,0.777303341,0.879230211,0.901107901,0.947820671,0.779105556,0.825776759,0.813448992
1953,0.836359051,0.817375376,0.788596327,0.882739866,0.827311408,0.797360043,0.886670684,0.828205802,0.886018379,0.907176448,0.926786923,0.830157711,0.73241783,0.773463961,0.906411287,0.917217463,0.94562327,0.781086748,0.824363821,0.818520165
1954,0.840160181,0.818253364,0.788049883,0.886317762,0.823912419,0.796829275,0.883396034,0.829852587,0.883841293,0.901764181,0.925824005,0.829873528,0.733140885,0.769331124,0.920436621,0.922490763,0.943827619,0.782146389,0.82295152,0.821461659
1955,0.842157829,0.819226152,0.787593916,0.890592998,0.824140654,0.796302666,0.879579635,0.829559098,0.881322907,0.893729379,0.924811759,0.827744741,0.733794289,0.765330671,0.928878858,0.926404455,0.941011053,0.783862666,0.819429065,0.825493947
1956,0.844774719,0.820216666,0.812868089,0.894251004,0.824217785,0.795780156,0.876034784,0.8302257,0.877153016,0.890057822,0.916201477,0.829408489,0.734238097,0.761215043,0.919119579,0.927624787,0.93760083,0.783298104,0.81649838,0.829610756
1957,0.846493644,0.821131505,0.812549357,0.897792056,0.824123139,0.79552042,0.872024234,0.829985664,0.871709461,0.888844132,0.907827035,0.829169577,0.739409251,0.765006859,0.917275134,0.931134704,0.928932516,0.783442004,0.820043093,0.831172303
1958,0.849535507,0.81842076,0.805333404,0.900463658,0.823792016,0.79500395,0.868117096,0.829660021,0.862867942,0.87909359,0.898402645,0.828900445,0.743956135,0.768690181,0.915438596,0.932572571,0.92005115,0.790174927,0.822739494,0.834051838
1959,0.850526733,0.817625864,0.804879825,0.901911796,0.82452026,0.794491434,0.863684661,0.829293276,0.85720868,0.876095551,0.89270039,0.828589629,0.747982697,0.767453044,0.913605899,0.933783392,0.917254672,0.814698534,0.82559574,0.823582008
1960,0.851508427,0.81690911,0.804401911,0.903436675,0.822984873,0.793982817,0.859708304,0.828109229,0.851488402,0.874669155,0.891712036,0.828229559,0.747003585,0.764582521,0.91096476,0.935013135,0.914279156,0.814076452,0.843328175,0.840944866
1961,0.851060522,0.817523805,0.829930347,0.879941112,0.847149857,0.859433842,0.85397263,0.825303999,0.845331977,0.873795931,0.880024366,0.806115927,0.766949215,0.768531073,0.90023498,0.931085169,0.909155892,0.832835272,0.833520927,0.853388574
1962,0.851032646,0.816323132,0.832708565,0.877516127,0.846764713,0.858360142,0.853107824,0.829404058,0.84481404,0.884607603,0.879145044,0.807673318,0.767740852,0.768687654,0.898434686,0.92740533,0.908335142,0.832905736,0.836986386,0.852174134
1963,0.853764112,0.812978102,0.82888016,0.879186932,0.852227304,0.752848505,0.846443032,0.871992303,0.840995714,0.881515092,0.880455619,0.811305009,0.78382606,0.772316175,0.903072896,0.920277889,0.905346787,0.798780293,0.835165299,0.840684306
1964,0.853157294,0.81187733,0.828376146,0.874501376,0.860492772,0.75192453,0.842847182,0.924757872,0.838440394,0.880472122,0.879721856,0.81551189,0.789295738,0.772095252,0.898483016,0.92051377,0.902307501,0.808720691,0.833347488,0.838640984
1965,0.85257053,0.810823335,0.835844027,0.86331131,0.844022924,0.751013873,0.84198903,0.878770623,0.836578833,0.879194096,0.872493683,0.806927302,0.788513733,0.771196172,0.897335756,0.921607414,0.89978217,0.823824202,0.833203872,0.845225047
1966,0.852137814,0.80378842,0.835330611,0.862276172,0.839995624,0.750563427,0.838282217,0.891344158,0.836277745,0.887434176,0.89020538,0.810151813,0.795221483,0.774785988,0.892138684,0.920344159,0.897887378,0.825668929,0.833020134,0.843172312
1967,0.851781982,0.799574475,0.834766993,0.863469901,0.838846695,0.750339407,0.837580173,0.89326707,0.835955058,0.892142986,0.891156322,0.811199797,0.794990615,0.783074288,0.895192838,0.918039002,0.906841345,0.825660068,0.831453844,0.841110228
1968,0.85152824,0.798693292,0.826390005,0.860278351,0.838490613,0.684275493,0.836955042,0.90023916,0.833397197,0.894494255,0.893549969,0.811742574,0.796277981,0.782809083,0.894617389,0.920493679,0.92306547,0.816364839,0.829893177,0.839064265
